scores_eucli_00346.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00347.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00348.csv ▶ 정확도: 95.04% (TP=3, TN=7599, FP=392, FN=5)
scores_eucli_00349.csv ▶ 정확도: 97.36% (TP=3, TN=7785, FP=206, FN=5)
scores_eucli_00350.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00351.csv ▶ 정확도: 99.91% (TP=3, TN=7989, FP=2, FN=5)
scores_eucli_00352.csv ▶ 정확도: 99.44% (TP=0, TN=7954, FP=37, FN=8)
scores_eucli_00353.csv ▶ 정확도: 99.85% (TP=0, TN=7987, FP=4, FN=8)
scores_eucli_00354.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00355.csv ▶ 정확도: 99.55% (TP=0, TN=7963, FP=28, FN=8)
scores_eucli_00356.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00357.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00358.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00359.csv ▶ 정확도: 99.90% (TP=1, TN=7990, FP=1, FN=7)
scores_eucli_00360.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00361.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00362.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00363.csv ▶ 정확도: 94.35% (TP=3, TN=7544, FP=447, FN=5)
scores_eucli_00364.csv ▶ 정확도: 99.89% (TP=0, TN=7990, FP=1, FN=8)
scores_eucli_00365.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00366.csv ▶ 정확도: 99.86% (TP=0, TN=7988, FP=3, FN=8)
scores_eucli_00367.csv ▶ 정확도: 99.75% (TP=1, TN=7978, FP=13, FN=7)
scores_eucli_00368.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00369.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00370.csv ▶ 정확도: 99.74% (TP=1, TN=7977, FP=14, FN=7)
scores_eucli_00371.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00372.csv ▶ 정확도: 99.80% (TP=1, TN=7982, FP=9, FN=7)
scores_eucli_00373.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00374.csv ▶ 정확도: 99.71% (TP=3, TN=7973, FP=18, FN=5)
scores_eucli_00375.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00376.csv ▶ 정확도: 99.95% (TP=4, TN=7991, FP=0, FN=4)
scores_eucli_00377.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00379.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00380.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00381.csv ▶ 정확도: 99.96% (TP=5, TN=7991, FP=0, FN=3)
